frame,slot,x,y,age,active
0,0,0.070616,0.011103,1,1
0,1,0.070616,-0.011103,1,1
1,0,0.058740,0.046272,2,1
1,1,0.058740,-0.046272,2,1
2,0,0.045037,0.080239,3,1
2,1,0.045037,-0.080239,3,1
3,0,0.030171,0.112735,4,1
3,1,0.030171,-0.112735,4,1
4,0,0.014806,0.143492,5,1
4,1,0.014806,-0.143492,5,1
5,0,-0.000393,0.172241,6,1
5,1,-0.000393,-0.172241,6,1
6,0,-0.014762,0.198714,7,1
6,1,-0.014762,-0.198714,7,1
7,0,-0.027635,0.222643,8,1
7,1,-0.027635,-0.222643,8,1
8,0,-0.038350,0.243758,9,1
8,1,-0.038350,-0.243758,9,1
9,0,-0.046240,0.261792,10,1
9,1,-0.046240,-0.261792,10,1
10,0,-0.050642,0.276475,11,1
10,1,-0.050642,-0.276475,11,1
10,2,0.062136,-0.000905,1,1
10,3,0.062136,0.000905,1,1
11,0,-0.050892,0.287540,12,1
11,1,-0.050892,-0.287540,12,1
11,2,0.043964,0.023048,2,1
11,3,0.043964,-0.023048,2,1
12,0,-0.046324,0.294718,13,1
12,1,-0.046324,-0.294718,13,1
12,2,0.025753,0.046695,3,1
12,3,0.025753,-0.046695,3,1
13,0,-0.036274,0.297740,14,1
13,1,-0.036274,-0.297740,14,1
13,2,0.007776,0.069869,4,1
13,3,0.007776,-0.069869,4,1
14,0,-0.020079,0.296338,15,1
14,1,-0.020079,-0.296338,15,1
14,2,-0.009698,0.092403,5,1
14,3,-0.009698,-0.092403,5,1
15,0,0.002928,0.290243,16,1
15,1,0.002928,-0.290243,16,1
15,2,-0.026399,0.114132,6,1
15,3,-0.026399,-0.114132,6,1
16,0,0.033409,0.279187,17,1
16,1,0.033409,-0.279187,17,1
16,2,-0.042055,0.134890,7,1
16,3,-0.042055,-0.134890,7,1
17,0,0.072031,0.262902,18,1
17,1,0.072031,-0.262902,18,1
17,2,-0.056397,0.154510,8,1
17,3,-0.056397,-0.154510,8,1
18,0,0.105307,0.244553,19,1
18,1,0.105307,-0.244553,19,1
18,2,-0.069153,0.172826,9,1
18,3,-0.069153,-0.172826,9,1
19,0,0.136729,0.223184,20,1
19,1,0.136729,-0.223184,20,1
19,2,-0.080054,0.189673,10,1
19,3,-0.080054,-0.189673,10,1
20,0,0.166669,0.199783,21,1
20,1,0.166669,-0.199783,21,1
20,2,-0.088828,0.204883,11,1
20,3,-0.088828,-0.204883,11,1
20,4,0.056022,-0.009296,1,1
20,5,0.056022,0.009296,1,1
21,0,0.195823,0.175410,22,1
21,1,0.195823,-0.175410,22,1
21,2,-0.095206,0.218291,12,1
21,3,-0.095206,-0.218291,12,1
21,4,0.032836,0.006652,2,1
21,5,0.032836,-0.006652,2,1
22,0,0.225163,0.151261,23,1
22,1,0.225163,-0.151261,23,1
22,2,-0.098916,0.229731,13,1
22,3,-0.098916,-0.229731,13,1
22,4,0.010548,0.022729,3,1
22,5,0.010548,-0.022729,3,1
23,0,0.255741,0.128700,24,1
23,1,0.255741,-0.128700,24,1
23,2,-0.099688,0.239037,14,1
23,3,-0.099688,-0.239037,14,1
23,4,-0.010734,0.038826,4,1
23,5,-0.010734,-0.038826,4,1
24,0,0.288274,0.109064,25,1
24,1,0.288274,-0.109064,25,1
24,2,-0.097252,0.246042,15,1
24,3,-0.097252,-0.246042,15,1
24,4,-0.030902,0.054828,5,1
24,5,-0.030902,-0.054828,5,1
25,0,0.322880,0.093366,26,1
25,1,0.322880,-0.093366,26,1
25,2,-0.091337,0.250580,16,1
25,3,-0.091337,-0.250580,16,1
25,4,-0.049851,0.070625,6,1
25,5,-0.049851,-0.070625,6,1
26,0,0.359198,0.082185,27,1
26,1,0.359198,-0.082185,27,1
26,2,-0.081673,0.252486,17,1
26,3,-0.081673,-0.252486,17,1
26,4,-0.067472,0.086103,7,1
26,5,-0.067472,-0.086103,7,1
27,0,0.396644,0.075719,28,1
27,1,0.396644,-0.075719,28,1
27,2,-0.067989,0.251593,18,1
27,3,-0.067989,-0.251593,18,1
27,4,-0.083657,0.101151,8,1
27,5,-0.083657,-0.101151,8,1
28,0,0.434598,0.073845,29,1
28,1,0.434598,-0.073845,29,1
28,2,-0.050014,0.247734,19,1
28,3,-0.050014,-0.247734,19,1
28,4,-0.098301,0.115656,9,1
28,5,-0.098301,-0.115656,9,1
29,0,0.472526,0.076178,30,1
29,1,0.472526,-0.076178,30,1
29,2,-0.027478,0.240745,20,1
29,3,-0.027478,-0.240745,20,1
29,4,-0.111295,0.129507,10,1
29,5,-0.111295,-0.129507,10,1
30,0,0.510057,0.082132,31,1
30,1,0.510057,-0.082132,31,1
30,2,-0.000111,0.230458,21,1
30,3,-0.000111,-0.230458,21,1
30,4,-0.122532,0.142590,11,1
30,5,-0.122532,-0.142590,11,1
31,0,0.547016,0.090964,32,1
31,1,0.547016,-0.090964,32,1
31,2,0.032358,0.216708,22,1
31,3,0.032358,-0.216708,22,1
31,4,-0.131905,0.154795,12,1
31,5,-0.131905,-0.154795,12,1
32,0,0.583434,0.101816,33,1
32,1,0.583434,-0.101816,33,1
32,2,0.066213,0.199451,23,1
32,3,0.066213,-0.199451,23,1
32,4,-0.139307,0.166008,13,1
32,5,-0.139307,-0.166008,13,1
33,0,0.619518,0.113728,34,1
33,1,0.619518,-0.113728,34,1
33,2,0.099768,0.181616,24,1
33,3,0.099768,-0.181616,24,1
33,4,-0.144630,0.176117,14,1
33,5,-0.144630,-0.176117,14,1
34,0,0.655602,0.125642,35,1
34,1,0.655602,-0.125642,35,1
34,2,0.133963,0.165041,25,1
34,3,0.133963,-0.165041,25,1
34,4,-0.147767,0.185011,15,1
34,5,-0.147767,-0.185011,15,1
35,0,0.692041,0.136422,36,1
35,1,0.692041,-0.136422,36,1
35,2,0.169398,0.151318,26,1
35,3,0.169398,-0.151318,26,1
35,4,-0.148611,0.192577,16,1
35,5,-0.148611,-0.192577,16,1
36,0,0.729074,0.144940,37,1
36,1,0.729074,-0.144940,37,1
36,2,0.206093,0.141444,27,1
36,3,0.206093,-0.141444,27,1
36,4,-0.147054,0.198703,17,1
36,5,-0.147054,-0.198703,17,1
37,0,0.766718,0.150133,38,1
37,1,0.766718,-0.150133,38,1
37,2,0.243681,0.135863,28,1
37,3,0.243681,-0.135863,28,1
37,4,-0.142989,0.203276,18,1
37,5,-0.142989,-0.203276,18,1
38,0,0.804707,0.151016,39,1
38,1,0.804707,-0.151016,39,1
38,2,0.281660,0.134605,29,1
38,3,0.281660,-0.134605,29,1
38,4,-0.136310,0.206185,19,1
38,5,-0.136310,-0.206185,19,1
39,0,0.842514,0.147188,40,1
39,1,0.842514,-0.147188,40,1
39,2,0.319556,0.137406,30,1
39,3,0.319556,-0.137406,30,1
39,4,-0.126907,0.207317,20,1
39,5,-0.126907,-0.207317,20,1
40,0,0.879580,0.138813,41,1
40,1,0.879580,-0.138813,41,1
40,2,0.357017,0.143787,31,1
40,3,0.357017,-0.143787,31,1
40,4,-0.114675,0.206560,21,1
40,5,-0.114675,-0.206560,21,1
41,0,0.915561,0.126591,42,1
41,1,0.915561,-0.126591,42,1
41,2,0.393853,0.153118,32,1
41,3,0.393853,-0.153118,32,1
41,4,-0.099506,0.203802,22,1
41,5,-0.099506,-0.203802,22,1
42,0,0.950504,0.111660,43,1
42,1,0.950504,-0.111660,43,1
42,2,0.430059,0.164658,33,1
42,3,0.430059,-0.164658,33,1
42,4,-0.081293,0.198931,23,1
42,5,-0.081293,-0.198931,23,1
43,0,0.984853,0.095406,44,1
43,1,0.984853,-0.095406,44,1
43,2,0.465796,0.177574,34,1
43,3,0.465796,-0.177574,34,1
43,4,-0.059928,0.191834,24,1
43,5,-0.059928,-0.191834,24,1
44,0,1.019235,0.079224,45,1
44,1,1.019235,-0.079224,45,1
44,2,0.501371,0.190931,35,1
44,3,0.501371,-0.190931,35,1
44,4,-0.035305,0.182399,25,1
44,5,-0.035305,-0.182399,25,1
45,0,1.053783,0.063398,46,1
45,1,1.053783,-0.063398,46,1
45,2,0.537173,0.203669,36,1
45,3,0.537173,-0.203669,36,1
45,4,-0.007315,0.170515,26,1
45,5,-0.007315,-0.170515,26,1
46,0,1.088483,0.047910,47,1
46,1,1.088483,-0.047910,47,1
46,2,0.573561,0.214620,37,1
46,3,0.573561,-0.214620,37,1
46,4,0.029123,0.159732,27,1
46,5,0.029123,-0.159732,27,1
47,0,1.123318,0.032727,48,0
47,1,1.123318,-0.032727,48,0
47,2,0.610708,0.222623,38,1
47,3,0.610708,-0.222623,38,1
